Sequence,Mmenonic ,Job Title,Experience Level,Minimum Educational Degree,Job Role,Work Model,Location,Compensation,Company,Keywords Original,Keywords Processed,Soft Skills,Technical Skills
87,HPC-AI-Performance-Engineer-HPE,HPC & AI Performance Engineer - HPE,Mid-level,Master's degree,HPC Software Engineer,Onsite,Global,$104,HPE,"C++, C, Fortran, OpenMP, MPI, MPI-IO, Python, CUDA, HIP, Linux, performance profiling, debugging, benchmarking","C++, C, Fortran, OpenMP, MPI, Python, CUDA, HIP, Linux","Communication, Teamwork, Problem-solving","Cluster Administration, GPU & Accelerated Computing, Coding & Software Development, Research Computing & Scientific Workflow Support, Performance Optimization"
151,HPC-Senior-Software-Engineer-Splunk,"HPC - Senior Software Engineer - Linux, Shell, Python - Erias Ventures",Senior,Not mentioned,HPC Systems Engineer,Hybrid,North America,$0,Tata Consultancy Services,"Linux CLI, Shell, Perl, Python, Splunk SPL, Syslog-ng, rsyslog, Kafka, Ansible, GitLab CI, Git, JIRA, Confluence","Linux, Bash, Perl, Python, Splunk, Kafka, Ansible, Git, JIRA, Confluence",None explicitly mentioned,"System Administration, Coding & Software Development, Automation, Monitoring & Observability, Database & Application Management"
88,HPC-Consultant-Fujitsu-Spanish,HPC Consultant - Fujitsu,Mid-level,Not mentioned,HPC Solutions Architect,Not mentioned,Europe,$0,Fujitsu,"Slurm, PBS, Singularity/Apptainer, Docker, Kubernetes, Ansible, Terraform, CI/CD, Lustre, GPFS, InfiniBand, RDMA, Qiskit, Cirq, Braket, AWS, Azure, GCP, Linux, NVIDIA/AMD, Mellanox","Slurm, PBS, Apptainer, Docker, Kubernetes, Ansible, Terraform, Lustre, GPFS, InfiniBand, RDMA, Qiskit, Cirq, Braket, Linux, AWS, GCP, Azure","Communication, Teamwork, Adaptability","System Administration, Cluster Administration, GPU & Accelerated Computing, Storage & Data Management, Networking & Infrastructure, Containerization & Orchestration, Automation, Cloud Computing, Research Computing & Scientific Workflow Support, User Support & Training, Performance Optimization"
90,AI-HPC-System-Architect-SK-hynix,AI/HPC System Architect - SK hynix America,Lead,PhD,HPC Solutions Architect,Onsite,North America,$205,SK hynix America,"LLMs, GNN, DLRMs, AI, HPC, system architecture, hardware/software co-design, compute, memory, networking",None,"Leadership, Communication, Teamwork, Stakeholder Management","Cluster Administration, GPU & Accelerated Computing, Networking & Infrastructure, Project & Team Leadership, Performance Optimization"
152,Platform-Engineer-ML-Infra-TANUH,Platform Engineer (ML Infrastructure) - TANUH,Senior,Bachelor's degree,HPC Systems Engineer,Onsite,Asia,$0,NVIDIA,"OpenHPC, Slurm, Rocky Linux, NFS, XFS, NVIDIA, CUDA, cuDNN, MIG, PyTorch, JAX, TensorFlow, Bash, Python, Ansible, Google Cloud SDK, GCS, IAM","OpenHPC, Slurm, Linux, NFS, XFS, CUDA, cuDNN, MIG, PyTorch, JAX, TensorFlow, Bash, Python, Ansible, GCP","Communication, Teamwork, Problem-solving, Adaptability","System Administration, Cluster Administration, GPU & Accelerated Computing, Storage & Data Management, Containerization & Orchestration, Automation, Cloud Computing, User Support & Training, Performance Optimization"
154,Systems-Engineer-HPC-GPU-Leidos-Junior,Systems Engineer -- HPC & GPU Infrastructure - Leidos (Junior),Mid-level,Bachelor's degree,HPC Systems Engineer,Onsite,North America,$0,TANUH,"Slurm, PBS, Apache Airflow, Kubernetes, Python, Bash, Ansible, Puppet, Salt, Terraform, Linux, GPU, HPC, Security+ CE, CCNA-Security, GICSP, GSEC, SSCP, CASP+, CCNP Security, CISA, CISSP, GCED, GCIH, CCSP","Slurm, PBS, Apache Airflow, Kubernetes, Python, Bash, Ansible, Puppet, Salt, Terraform, Linux","Communication, Teamwork, Problem-solving, Adaptability","System Administration, Cluster Administration, GPU & Accelerated Computing, Containerization & Orchestration, Automation, Security & Compliance, Performance Optimization"
155,Application-Engineer-HPC-Altair-Taipei,Application Engineer (HPC) - Cambridge Semantics Inc. / Altair,Senior,Master's degree,HPC Systems Engineer,Onsite,Asia,$0,Schaeffler,"Linux, TCL, Bash, Python, NC, Grid Engine, PBS Pro, LSF, Slurm, Docker, Podman, gdb, valgrind, gstack, TCP, UDP, SSH, OpenSSL, SELinux, AppArmor, firewalls, SQL, PostgreSQL, EDA","Linux, TCL, Bash, Python, Grid Engine, PBS, LSF, Slurm, Docker, Podman, AppArmor, PostgreSQL","Communication, Teamwork, Problem-solving, Adaptability","System Administration, Cluster Administration, Storage & Data Management, Networking & Infrastructure, Containerization & Orchestration, Database & Application Management, Security & Compliance, User Support & Training, Performance Optimization"
157,HPC-Senior-Software-Engineer-DCIM,"HPC - Senior Software Engineer - Linux, Python, Bash - Erias Ventures",Mid-level,Bachelor's degree,HPC Systems Engineer,Onsite,North America,$0,Cambridge Semantics,"Linux CLI, Bash, Python, Netbox, HashiCorp Vault, Keycloak, Docker, PodMan, containerd, Ansible, GitLab CI, Jenkins, Git, Splunk, Agile, Scrum, SAFe, JIRA, Confluence","Linux, Bash, Python, Netbox, Vault, Keycloak, Docker, PodMan, Ansible, Jenkins, Git, Splunk, JIRA, Confluence","Communication, Teamwork, Problem-solving, Adaptability","System Administration, Coding & Software Development, Automation, Containerization & Orchestration, Security & Compliance, Monitoring & Observability"
164,HPC-Systems-Engineer-Phoenix-Charlottesville,HPC Systems Engineer - TS/SCI Required - Phoenix Operations Group,Senior,Not mentioned,HPC Systems Engineer,Onsite,North America,$0,Helsing,"Slurm, PBS, PBS Pro, Torque, MPI, OpenMP, CUDA, Linux (RHEL), Bash, Python, xCAT, Warewulf, Docker, Podman, Singularity, Apptainer, Ansible, Puppet, Lustre, BeeGFS, GPFS","Slurm, PBS, Torque, MPI, OpenMP, CUDA, Linux, Bash, Python, xCAT, Warewulf, Docker, Podman, Apptainer, Ansible, Puppet, Lustre, BeeGFS, GPFS",None explicitly mentioned,"System Administration, Cluster Administration, GPU & Accelerated Computing, Storage & Data Management, Containerization & Orchestration, Automation, Security & Compliance, Performance Optimization"
172,HPC-Engineer-Yotta-Mumbai,HPC Engineer - Yotta Data Services Private Limited,Senior,Bachelor's degree,HPC Systems Engineer,Onsite,Asia,$0,Yotta Data Services Private Limited,"Slurm, LSF, PBS pro, Base Command Manager, XCAT, HPCM, InfiniBand, Ethernet, MPI, Ansible, Salt, Puppet, Kubernetes, Linux System Administration, HPL, NCCL, BIOS","Slurm, LSF, PBS, BCM, XCAT, HPCM, InfiniBand, Ethernet, MPI, Ansible, Salt, Puppet, Kubernetes, HPL, NCCL","Communication, Teamwork, Problem-solving, Self-motivation, Time Management","System Administration, Cluster Administration, GPU & Accelerated Computing, Storage & Data Management, Networking & Infrastructure, Containerization & Orchestration, Automation, Security & Compliance, Performance Optimization"
177,Senior-HPC-AI-Cluster-Engineer-NVIDIA-France,Senior HPC AI Cluster Engineer - NVIDIA (France),Lead,Not mentioned,HPC Systems Engineer,Remote,Europe,$0,NVIDIA,"Slurm, K8s, Linux (Redhat, CentOS, Ubuntu), Windows, Lustre, GPFS, Weka.io, Python, Bash, Jenkins, Ansible, Puppet, Chef, InfiniBand, Ethernet, VMware, Hyper-V, KVM, Citrix, AWS, Azure, Google Cloud, DGX, CUDA, RDMA, RoCE","Slurm, Kubernetes, Linux, Windows Server, Lustre, GPFS, Weka",None explicitly mentioned,"System Administration, Cluster Administration, GPU & Accelerated Computing, Storage & Data Management, Networking & Infrastructure, Containerization & Orchestration, Cloud Computing, Automation, Security & Compliance, Performance Optimization"
178,HPC-User-Support-Specialist-GRNET,HPC User Support Specialist - GRNET,Mid-level,Not mentioned,HPC Systems Engineer,Hybrid,Europe,$0,GRNET,"Linux, Slurm, Python, C/C++, Fortran, R, gprof, perf, Intel VTune, ARM MAP, JIRA, Redmine, ServiceNow, Apptainer/Singularity, MPI, OpenMP, AI/ML, bioinformatics","Linux, Slurm, Python, C, C++, Fortran, R, JIRA, Redmine, Apptainer, MPI, OpenMP",None explicitly mentioned,"System Administration, Cluster Administration, GPU & Accelerated Computing, User Support & Training, Research Computing & Scientific Workflow Support, Monitoring & Observability, Performance Optimization"
179,HPC-Domain-Specialist-Climate-ASTAR,HPC Domain Specialist (Climate/Weather) - A*STAR,Mid-level,Master's degree,HPC Systems Engineer,Onsite,Asia,$0,A*STAR,"UM, WRF, Linux, HPC job schedulers, OpenMP, MPI, container technologies, GPFS, Lustre, C/C++, Python, Fortran","WRF, Linux, OpenMP, MPI, GPFS, Lustre, C, C++, Python, Fortran","Leadership, Communication, Teamwork, Problem-solving","Cluster Administration, GPU & Accelerated Computing, Storage & Data Management, Research Computing & Scientific Workflow Support, User Support & Training, Performance Optimization"
180,HPC-Domain-Specialist-CFD-ASTAR,"HPC Domain Specialist (Engineering, CFD) - A*STAR",Mid-level,Master's degree,HPC Systems Engineer,Onsite,Asia,$0,A*STAR,"OpenFOAM, Paraview, Linux, HPC job schedulers, OpenMP, MPI, container technologies, GPFS, Lustre, C/C++, Python, Fortran","OpenFOAM, Paraview, Linux, OpenMP, MPI, GPFS, Lustre, C, C++, Python, Fortran","Leadership, Communication, Teamwork, Problem-solving","Cluster Administration, GPU & Accelerated Computing, Storage & Data Management, Research Computing & Scientific Workflow Support, User Support & Training, Performance Optimization"
181,HPC-Training-Specialist-ASTAR,HPC Training Specialist - A*STAR,Mid-level,Bachelor's degree,HPC Systems Engineer,Onsite,Asia,$0,A*STAR,"Linux, job schedulers, shell scripting, MPI, OpenMP, CUDA, Python, C/C++, Fortran, container technologies","Linux, MPI, OpenMP, CUDA, Python, C, C++, Fortran","Communication, Teamwork, Problem-solving, Customer Focus","Cluster Administration, GPU & Accelerated Computing, User Support & Training, Research Computing & Scientific Workflow Support, Performance Optimization"
183,Junior-HPC-SysAdmin-GRNET,Junior HPC System Administrator - GRNET,Entry-level,Bachelor's degree,HPC Systems Engineer,Hybrid,Europe,$0,GRNET,"Linux (RHEL), Bash, Python, Perl, Ansible, Nagios, Ganglia, Prometheus, Grafana, Slurm, Torque, GPUs, InfiniBand, Lustre, GPFS, JIRA, Redmine","Linux, Bash, Python, Perl, Ansible, Nagios, Ganglia, Prometheus, Grafana, Slurm, Torque, InfiniBand, Lustre, GPFS, JIRA, Redmine",None explicitly mentioned,"System Administration, Cluster Administration, GPU & Accelerated Computing, Storage & Data Management, Networking & Infrastructure, Automation, Monitoring & Observability, User Support & Training, Performance Optimization"
189,Senior-HPC-AI-Network-Architect-NVIDIA-UK,Senior HPC and AI Network Software Architect - NVIDIA AI (UK),Senior,Bachelor's degree,HPC Systems Engineer,Onsite,Europe,$0,NVIDIA,"NCCL, UCX, UCC, C++, Python, CUDA, PyTorch, TensorFlow, JAX, RDMA, InfiniBand, RoCE, DPU, GPU, LLMs, transformer-based models","NCCL, UCX, C++, Python, CUDA, PyTorch, TensorFlow, JAX, RDMA, InfiniBand, RoCE","Communication, Teamwork, Problem-solving, Adaptability","Cluster Administration, GPU & Accelerated Computing, Networking & Infrastructure, Coding & Software Development, Project & Team Leadership, Performance Optimization"
104,Senior-HPC-Solutions-Architect-NVIDIA,Senior HPC Solutions Architect - NVIDIA,Lead,Bachelor's degree,HPC Solutions Architect,Onsite,North America,$263,NVIDIA,"C, C++, Python, CUDA, Slurm, BMC, PCIe, Linux, kernel, drivers, RoCE, InfiniBand, DPU, ARM","C, C++, Python, CUDA, Slurm, BMC, Linux, RoCE, InfiniBand","Communication, Teamwork, Customer Focus, Problem-solving","System Administration, Cluster Administration, GPU & Accelerated Computing, Networking & Infrastructure, User Support & Training, Performance Optimization"
202,HPC-Linux-Admin-Siemens-Portugal,HPC Linux Administrator - Siemens Energy (Portugal),Mid-level,Bachelor's degree,HPC Systems Engineer,Remote,Europe,$0,Siemens,"Linux (RHEL), PBS, Bash, Python, Ansible, HPC","Linux, PBS, Bash, Python, Ansible",None explicitly mentioned,"System Administration, Cluster Administration, Automation"
203,HPC-SysAdmin-Lenovo-London,"HPC System Administrator - Lenovo (London, United Kingdom)",Senior,Not mentioned,HPC Systems Engineer,Hybrid,Europe,$0,Lenovo,"Linux (Suse, RHEL, CentOS), Slurm, PBS Pro, Confluent, Ansible, Bash, Python, GPFS, Weka, DDN, NFS, SMB, InfiniBand, RDMA, ROCE, GitLab, GitOps","Linux, Slurm, PBS, Confluent, Ansible, Bash, Python, GPFS, Weka, DDN, NFS, SMB, InfiniBand, RDMA, RoCE, ",None explicitly mentioned,"System Administration, Cluster Administration, GPU & Accelerated Computing, Storage & Data Management, Networking & Infrastructure, Containerization & Orchestration, Automation, Security & Compliance, Performance Optimization"
106,Senior-HPC-Performance-Engineer-NVIDIA-Israel,Senior HPC Performance Engineer - NVIDIA (Israel),Senior,Master's degree,HPC Software Engineer,Onsite,Asia,$0,NVIDIA,"MPI, NCCL, UCX, NVSHMEM, C/C++, Python, Infiniband, Ethernet, RDMA, CUDA, PyTorch, TensorFlow, Kubernetes, Slurm, Ansible, Docker","MPI, NCCL, UCX, SHMEM, C, C++, Python, Infiniband, Ethernet, RDMA, CUDA, PyTorch, TensorFlow, Kubernetes, Slurm, Ansible, Docker","Communication, Teamwork, Adaptability, Problem-solving","Cluster Administration, GPU & Accelerated Computing, Networking & Infrastructure, Containerization & Orchestration, Automation, Monitoring & Observability, Performance Optimization"
108,Senior-AI-HPC-Observability-NVIDIA,Senior AI and HPC Observability Engineer - NVIDIA,Senior,Bachelor's degree,HPC Software Engineer,Onsite,North America,$216,NVIDIA,"Python, Go, Java, PromQL, Kafka, Spark, Flink, Kubernetes, OpenTelemetry, Prometheus, AI, GPU, HPC","Python, Go, Java, PromQL, Kafka, Spark, Flink, Kubernetes, OpenTelemetry, Prometheus",None explicitly mentioned,"Cluster Administration, GPU & Accelerated Computing, Containerization & Orchestration, Coding & Software Development, Monitoring & Observability, Performance Optimization"
204,Senior-HPC-Networking-Engineer-Mirantis,Senior HPC Networking Engineer - Mirantis (Remote),Senior,Not mentioned,HPC Systems Engineer,Remote,Global,$0,Mirantis,"InfiniBand, Mellanox, NVIDIA, FortiGate, FortiManager, FortiAnalyzer, TCP/IP, BGP, OSPF, VLANs, QoS, Linux, Bash, Python, Ansible, Terraform, RDMA, MPI, FCSS, FCNSP, CCNP, CCIE","InfiniBand, Linux, Bash, Python, Ansible, Terraform, RDMA, MPI","Leadership, Communication, Teamwork, Adaptability, Problem-solving","System Administration, Networking & Infrastructure, Automation"
107,Systems-Software-Engineer-HPE-Diagnostics,Systems/Software Engineer-- HPC Diagnostics & Test - HPE (Costa Rica),Mid-level,Not mentioned,HPC Software Engineer,Onsite,Central America,$0,HPE,"Python, Linux, server/computer architecture, Agile, SDLC, firmware, UEFI, CI/CD","Python, Linux","Communication, Teamwork, Adaptability, Problem-solving","System Administration, Coding & Software Development, Automation, Project & Team Leadership"
206,GPU-HPC-Consultant-Neocloud,GPU / HPC Consultant - Neocloud and AI Infrastructure,Senior,Bachelor's degree,HPC Systems Engineer,Onsite,Europe,$0,Not mentioned,"Kubernetes, NCCL, GPU, HPC, cloud, distributed systems, SRE, platform engineering, AI infrastructure","Kubernetes, NCCL","Communication, Teamwork, Problem-solving, Adaptability, Customer Focus","Cluster Administration, GPU & Accelerated Computing, Containerization & Orchestration, Cloud Computing, Monitoring & Observability, Performance Optimization"
112,CPP-Engineer-HPC-Alignerr-Seattle,C++ Engineer - High Performance Computing (HPC) - Alignerr (Seattle),Senior,Not mentioned,HPC Software Engineer,Remote,North America,$130,Alignerr,"C++ (C++17, C++20), SIMD, lock-free programming, threading, computer architecture, AI/ML, data pipelines",C++,"Communication, Teamwork, Adaptability, Problem-solving","Cluster Administration, GPU & Accelerated Computing, Coding & Software Development, Performance Optimization"
209,AI-HPC-System-Architect-SK-hynix-SanJose,"AI/HPC System Architect - SK hynix America (San Jose, CA)",Senior,Not mentioned,HPC Systems Engineer,Onsite,Europe,$0,SK hynix America,"LLMs, GNN, DLRMs, AI, HPC, system architecture, hardware/software co-design, compute, memory, networking",None,None explicitly mentioned,"Cluster Administration, GPU & Accelerated Computing, Networking & Infrastructure, Project & Team Leadership, Performance Optimization"
113,HPC-Specialist-Architect-AWS-Spain,HPC Specialist Architect - Energy Industry - AWS (Spain),Senior,Bachelor's degree,HPC Solutions Architect,Hybrid,Europe,$0,AWS,"Slurm, Torque, Symphony, GridServer, C++, Python, CUDA, Bash, MPI (OpenMPI, MPICH), OpenMP, OpenACC, AWS (CloudFormation, CDK)","Slurm, Torque, Symphony, GridServer, C++, Python, CUDA, Bash, MPI, OpenMP, OpenACC","Communication, Teamwork, Adaptability, Customer Focus, Problem-solving","System Administration, Cluster Administration, GPU & Accelerated Computing, Networking & Infrastructure, Cloud Computing, User Support & Training, Performance Optimization"
210,HPC-Kubernetes-Solutions-Architect-NorthMark,HPC Kubernetes Solutions Architect - NorthMark Compute & Cloud,Senior,Not mentioned,HPC Systems Engineer,Remote,North America,$0,NorthMark Compute & Cloud,"NVIDIA GPU Operator, Network Operator, DCGM, MIG, Volcano, Slurm, Go, Python, Prometheus, Grafana, DCGM Exporter, OpenTelemetry, ArgoCD, FluxCD, Helm, Kustomize, InfiniBand, RDMA, RoCE, Singularity/Apptainer, CKA, CKAD, CKS","DCGM, MIG, Volcano, Slurm, Go, Python, Prometheus, Grafana, DCGM, OpenTelemetry, ArgoCD, FluxCD, Helm, InfiniBand, RDMA, RoCE, Apptainer",None explicitly mentioned,"System Administration, Cluster Administration, GPU & Accelerated Computing, Storage & Data Management, Networking & Infrastructure, Containerization & Orchestration, Monitoring & Observability, Project & Team Leadership, Performance Optimization"
215,HPC-Systems-Engineer-SBS-Chantilly,"HPC Systems Engineer - Strategic Business Systems (Chantilly, VA)",Senior,Not mentioned,HPC Systems Engineer,Onsite,North America,$0,Strategic Business Systems,"Slurm, PBS, LSF, InfiniBand, Lustre, GPFS, BeeGFS, Bash, Python, Singularity/Apptainer, Docker, AWS, Linux/Unix","Slurm, PBS, LSF, InfiniBand, Lustre, GPFS, BeeGFS, Bash, Python, Apptainer, Docker, Linux","Leadership, Communication, Teamwork, Adaptability, Problem-solving","System Administration, Cluster Administration, GPU & Accelerated Computing, Storage & Data Management, Networking & Infrastructure, Containerization & Orchestration, Cloud Computing, Automation, Security & Compliance, Performance Optimization"
171,VIE-HPC-Technical-Direction-EDF-Runcorn,VIE - HPC Technical Direction Engineer F/H - EDF,Mid-level,Bachelor's degree,HPC Systems Engineer,Onsite,Europe,$3,EDF,"Mechanical drawings, engineering support, configuration management, NCR, CR, RFI, FCR, TCN",None,"Communication, Teamwork, Adaptability, Self-motivation","Project & Team Leadership, Database & Application Management, Security & Compliance"
20,HPC-SysEngineer-Chennai-4-7yrs,HPC Systems Engineer - Chennai,Mid-level,Not mentioned,HPC Systems Engineer,Hybrid,Asia,$18,Not mentioned,"Slurm, PBS, MPI, OpenMP, Lustre, NFS, GPFS, InfiniBand, Python, Bash, AWS ParallelCluster, AWS PCS, Linux administration, HPC architecture","Slurm, PBS, MPI, OpenMP, Lustre, NFS, GPFS, InfiniBand, Python, Bash","Problem-solving, Teamwork, Communication, Self-motivation","Cluster Administration, Storage & Data Management, Networking & Infrastructure, Performance Optimization"
59,Linux-SysAdmin-HPC-Turin,"Linux Systems Administrator -- HPC - Turin, Italy",Senior,Not mentioned,HPC Systems Engineer,Remote,Europe,$43,Do IT Now,"RedHat EL, SLES, Bash, Python, Zabbix, Nagios, Lustre, BeeGFS, GPFS, CEPH, PBS, LSF, Slurm, Docker, Singularity, R.H. Container, Xcat, Bright Cluster Manager, Ansible, Puppet, Openshift, Openstack, DDN, NetApp, Isilon, Qumulo, VMware, Citrix, KVM, Hyper-V, MySQL, Ost, Postgres, DELL, HPE, Lenovo","Linux, Bash, Python, Zabbix, Nagios, Lustre, BeeGFS, GPFS, CEPH, PBS, LSF, Slurm, Docker, Apptainer, Xcat, BCM, Ansible, Puppet, Openshift, Openstack, KVM, Hyper-V, MySQL, PostgreSQL","Leadership, Communication, Teamwork, Self-motivation","System Administration, Cluster Administration, GPU & Accelerated Computing, Storage & Data Management, Networking & Infrastructure, Containerization & Orchestration, Automation, Cloud Computing, Database & Application Management, Monitoring & Observability, Performance Optimization"
119,Solutions-Architect-AI-Science-NVIDIA-Japan,"Solutions Architect, AI for Science and HPC - NVIDIA (Japan)",Senior,Bachelor's degree,HPC Solutions Architect,Remote,Asia,$0,NVIDIA,"GenAI, Python, C/C++, Bash, Linux, AI, Deep Learning, HPC, NVIDIA NIMs, NeMo","Python, C, C++, Bash, Linux, NIMs, NeMo","Communication, Teamwork, Adaptability, Problem-solving, Self-motivation","Cluster Administration, GPU & Accelerated Computing, Coding & Software Development, Research Computing & Scientific Workflow Support, User Support & Training, Performance Optimization"
121,Senior-Software-Architect-HPC-NVIDIA-SantaClara,Senior Software Architect - Deep Learning and HPC Communications - NVIDIA (Santa Clara),Senior,Master's degree,HPC Software Engineer,Onsite,North America,$263,NVIDIA,"MPI, SHMEM, NCCL, NVSHMEM, OpenSHMEM, UCX, UCC, CUDA, InfiniBand, RoCE, NVLink, PCIe, PyTorch, TensorFlow, C, C++, Linux, parallel programming, network architecture","MPI, SHMEM, NCCL, UCX, CUDA, InfiniBand, RoCE, NVLink, PyTorch, TensorFlow, C, C++, Linux","Leadership, Communication, Teamwork, Adaptability, Problem-solving","Cluster Administration, GPU & Accelerated Computing, Networking & Infrastructure, Coding & Software Development, Project & Team Leadership, Performance Optimization"
122,Senior-HPC-Architect-Automation-NVIDIA-NM,"Senior HPC Architect, Automation and At-Scale Deployment - NVIDIA (New Mexico)",Senior,Bachelor's degree,HPC Solutions Architect,Remote,North America,$263,NVIDIA,"C, C++, Python, Bash, accelerated computing, scheduling, I/O stacks, Deep Learning, parallel filesystems, container technology, Linux performance tools","C, C++, Python, Bash","Communication, Teamwork, Adaptability, Self-motivation","System Administration, Cluster Administration, GPU & Accelerated Computing, Storage & Data Management, Performance Optimization"
123,Senior-Software-Architect-HPC-NVIDIA-Israel,Senior Software Architect - Deep Learning and HPC Communications - NVIDIA (Israel),Senior,Master's degree,HPC Software Engineer,Onsite,Asia,$263,NVIDIA,"MPI, SHMEM, NCCL, NVSHMEM, OpenSHMEM, UCX, UCC, CUDA, InfiniBand, RoCE, NVLink, PCIe, PyTorch, TensorFlow, C, C++, Linux, parallel programming, network architecture","MPI, SHMEM, NCCL, UCX, CUDA, InfiniBand, RoCE, NVLink, PyTorch, TensorFlow, C, C++, Linux","Leadership, Communication, Teamwork, Adaptability, Problem-solving","Cluster Administration, GPU & Accelerated Computing, Networking & Infrastructure, Coding & Software Development, Project & Team Leadership, Performance Optimization"
124,Senior-HPC-AI-Network-Architect-NVIDIA-Germany,Senior HPC and AI Network Software Architect - NVIDIA (Germany),Senior,PhD,HPC Solutions Architect,Remote,Europe,$263,NVIDIA,"NCCL, UCX, UCC, C++, Python, CUDA, PyTorch, TensorFlow, JAX, RDMA, InfiniBand, RoCE, DPU, GPU, LLMs, transformer-based models","NCCL, UCX, C++, Python, CUDA, PyTorch, TensorFlow, JAX, RDMA, InfiniBand, RoCE","Leadership, Communication, Teamwork, Adaptability, Problem-solving","Cluster Administration, GPU & Accelerated Computing, Networking & Infrastructure, Coding & Software Development, Project & Team Leadership, Performance Optimization"
120,Solutions-Architect-AI-Science-NVIDIA-Tokyo,"Solutions Architect, AI for Science and HPC - NVIDIA (Tokyo)",Senior,Bachelor's degree,HPC Solutions Architect,Onsite,Asia,$0,NVIDIA,"GenAI, Python, C/C++, Bash, Linux, AI, Deep Learning, HPC, NVIDIA NIMs, NeMo","Python, C, C++, Bash, Linux, NIMs, NeMo","Communication, Teamwork, Adaptability, Problem-solving, Self-motivation","Cluster Administration, GPU & Accelerated Computing, Coding & Software Development, Research Computing & Scientific Workflow Support, User Support & Training, Performance Optimization"
4,HPC-Infra-Technician-EU,HPC Infrastructure Technician,Entry-level,Not mentioned,HPC Systems Engineer,Onsite,Europe,$62,Not mentioned,"Hardware installation, servers, network equipment, data center, Linux/Unix",Linux,None explicitly mentioned,"System Administration, Cluster Administration, Networking & Infrastructure"
125,Technical-Business-Analyst-HPC-Peoria,"Technical Business Analyst (HPC, Linux) - DSM-H Consulting",Mid-level,Bachelor's degree,HPC Technical Leader,Onsite,North America,$0,DSM-H Consulting,"HPC, Linux, Windows, Slurm, InfiniBand, GPU, Ansible, Terraform, cloud, hybrid HPC, PBS, LSF","Linux, Windows Server, Slurm, InfiniBand, Ansible, Terraform, PBS, LSF, AWS, GCP, Azure","Communication, Teamwork, Problem-solving, Stakeholder Management","System Administration, Cluster Administration, GPU & Accelerated Computing, Storage & Data Management, Networking & Infrastructure, Automation, Cloud Computing, Project & Team Leadership, Performance Optimization"
86,Senior-HPC-Infra-Engineer-Warwick,Senior HPC Infrastructure Engineer - University of Warwick,Senior,Not mentioned,HPC Systems Engineer,Onsite,Europe,$66,University of Warwick,"HPC, storage systems, virtualisation platform, Linux, monitoring",Linux,None explicitly mentioned,"System Administration, Cluster Administration, Storage & Data Management, Networking & Infrastructure, Monitoring & Observability, Performance Optimization"
141,SRE-HPC-AI-Infra-Tesla-Bangalore,"Site Reliability Engineer, HPC / AI Infrastructure - Tesla (Bangalore)",Senior,Not mentioned,HPC Systems Engineer,Onsite,Asia,$66,University of Warwick,"Slurm, LSF, Python, Golang, Bash, Ansible, Prometheus, Grafana, Telegraf, Splunk, Kubernetes, GPU, high-performance storage, parallel file systems","Slurm, LSF, Python, Golang, Bash, Ansible, Prometheus, Grafana, Telegraf, Splunk, Kubernetes",None explicitly mentioned,"System Administration, Cluster Administration, Storage & Data Management, Networking & Infrastructure, Containerization & Orchestration, Automation, Monitoring & Observability, Performance Optimization"
76,HPC-Engineer-CoreWeave-NVLink-Poland,HPC Engineer - CoreWeave (NVLink/NVSwitch),Senior,Not mentioned,HPC Systems Engineer,Not mentioned,North America,$73,CoreWeave,"NVLink, NVSwitch, Linux, Python, Go, Bash, Ansible, Kubernetes, Grafana, Prometheus, PromQL, InfiniBand, RDMA, BMC, Redfish, IPMI, NVUE, SONiC","NVLink, Linux, Python, Go, Bash, Ansible, Kubernetes, Grafana, Prometheus, PromQL, InfiniBand, RDMA, BMC, Redfish","Communication, Teamwork, Problem-solving, Adaptability","System Administration, Cluster Administration, GPU & Accelerated Computing, Networking & Infrastructure, Containerization & Orchestration, Automation, Monitoring & Observability, Performance Optimization"
131,Senior-Math-Libraries-Engineer-NVIDIA-SantaClara,Senior Math Libraries Engineer -- AI and HPC - NVIDIA (Santa Clara),Lead,Bachelor's degree,HPC Software Engineer,Onsite,North America,$263,NVIDIA,"C++, CUDA, MPI, OpenMP, OpenACC, pthreads, Python, JIRA, kernel generation, linear algebra, ML, Deep Learning, GPU architecture","C++, CUDA, MPI, OpenMP, OpenACC, pthreads, Python, JIRA, LLVM, GCC","Leadership, Communication, Teamwork, Mentorship","Cluster Administration, GPU & Accelerated Computing, Coding & Software Development, Research Computing & Scientific Workflow Support, Project & Team Leadership, Performance Optimization"
67,HPC-SysAdmin-Mass-General-Brigham,HPC Systems Administrator - Mass General Brigham,Mid-level,Bachelor's degree,HPC Systems Engineer,Hybrid,North America,$77,Mass General Brigham,"Slurm, Linux (CentOS, RHEL, Ubuntu), Bash, Python, Perl, FreeSurfer, FSL, SPM, ANTs, MATLAB, PyTorch, CUDA, TensorFlow","Slurm, Linux, Bash, Python, Perl, FreeSurfer, FSL, SPM, ANTs, MATLAB, PyTorch, CUDA, TensorFlow","Communication, Teamwork, Problem-solving, Adaptability, Time Management","System Administration, Cluster Administration, GPU & Accelerated Computing, Storage & Data Management, Networking & Infrastructure, Research Computing & Scientific Workflow Support, User Support & Training, Performance Optimization"
